,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
Currency,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD
Strategy,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA,B&H,RSI,MACD,STS,STS,STS,STS,MTS,MTSGA
Time,202401,202401,202401,202401,202401,202401,202401,202401,202401,202402,202402,202402,202402,202402,202402,202402,202402,202402,202403,202403,202403,202403,202403,202403,202403,202403,202403,202404,202404,202404,202404,202404,202404,202404,202404,202404,202401,202401,202401,202401,202401,202401,202401,202401,202401,202402,202402,202402,202402,202402,202402,202402,202402,202402,202403,202403,202403,202403,202403,202403,202403,202403,202403,202404,202404,202404,202404,202404,202404,202404,202404,202404,202401,202401,202401,202401,202401,202401,202401,202401,202401,202402,202402,202402,202402,202402,202402,202402,202402,202402,202403,202403,202403,202403,202403,202403,202403,202403,202403,202404,202404,202404,202404,202404,202404,202404,202404,202404
Threshold,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All,None,None,None,0.002,0.004,0.005,0.008,All,All
PnL,-2453.0,-2406.0,-6232.0,-3036.0,-3282.0,-3146.0,-3407.0,-589.0,-1079.0,9.0,-174.0,-4217.0,-458.0,-510.0,-570.0,-451.0,1251.0,815.0,-127.0,-942.0,-2754.0,1090.0,1196.0,1181.0,1300.0,1434.0,1891.0,-1277.0,-1072.0,-3535.0,1016.0,476.0,521.0,433.0,1350.0,2010.0,1793.0,1793.0,-1632.0,1125.0,462.0,1093.0,377.0,702.0,1214.0,1356.0,116.0,-2880.0,-1682.0,-1549.0,-1616.0,-1585.0,-1296.0,-1009.0,-474.0,-488.0,-3666.0,-476.0,-828.0,-501.0,-837.0,-264.0,16.0,2551.0,1316.0,324.0,1700.0,1835.0,1714.0,1876.0,2675.0,2505.0,-2647.0,-2793.0,-5839.0,-1122.0,-2052.0,-2150.0,-1323.0,-428.0,-136.0,-632.0,-975.0,-3864.0,-2196.0,-1887.0,-1783.0,-2022.0,298.0,732.0,327.0,342.0,-3463.0,-69.0,-438.0,-586.0,13.0,160.0,1349.0,-596.0,1280.0,-590.0,-2926.0,-2555.0,-2685.0,-2919.0,-1558.0,-257.0
Fitness,-0.0222,-0.0219,-0.057,-0.0278,-0.03,-0.0288,-0.0312,-0.0053,-0.0098,0.0001,-0.0016,-0.039,-0.0042,-0.0047,-0.0053,-0.0042,0.0116,0.0075,-0.0012,-0.0086,-0.0253,0.01,0.011,0.0109,0.012,0.0132,0.0174,-0.0118,-0.0099,-0.0329,0.0095,0.0045,0.0049,0.004,0.0126,0.0188,0.0123,0.0123,-0.0124,0.0082,0.0032,0.008,0.0026,0.0051,0.0088,0.0091,-0.0001,-0.0216,-0.0129,-0.0119,-0.0124,-0.0122,-0.01,-0.0079,-0.0054,-0.0047,-0.0274,-0.0041,-0.0067,-0.0043,-0.0068,-0.0022,-0.0002,0.0175,0.0084,0.0024,0.0124,0.0133,0.0125,0.0136,0.0192,0.0179,-0.0405,-0.0426,-0.0877,-0.0171,-0.0311,-0.0326,-0.0201,-0.0065,-0.0022,-0.0105,-0.0156,-0.0595,-0.034,-0.0292,-0.0276,-0.0314,0.0043,0.011,0.004,0.0049,-0.0526,-0.0012,-0.0068,-0.009,0.0001,0.0023,0.0206,-0.0107,0.0195,-0.0094,-0.045,-0.0393,-0.0413,-0.0449,-0.0239,-0.004
TR,-0.0222,-0.0219,-0.057,-0.0278,-0.03,-0.0288,-0.0312,-0.0053,-0.0098,0.0001,-0.0016,-0.039,-0.0042,-0.0047,-0.0053,-0.0042,0.0116,0.0075,-0.0012,-0.0086,-0.0253,0.01,0.011,0.0109,0.012,0.0132,0.0174,-0.0118,-0.0099,-0.0329,0.0095,0.0045,0.0049,0.004,0.0126,0.0188,0.0135,0.0135,-0.0121,0.0085,0.0035,0.0083,0.0029,0.0053,0.0091,0.0101,0.0008,-0.0213,-0.0123,-0.0113,-0.0118,-0.0116,-0.0094,-0.0073,-0.0035,-0.0036,-0.0271,-0.0035,-0.0061,-0.0037,-0.0062,-0.0019,0.0001,0.0189,0.0098,0.0026,0.0126,0.0135,0.0127,0.0138,0.0197,0.0184,-0.0388,-0.0413,-0.0875,-0.0168,-0.0308,-0.0323,-0.0198,-0.0063,-0.0018,-0.0096,-0.0148,-0.0592,-0.0336,-0.0288,-0.0272,-0.0309,0.0047,0.0113,0.005,0.0054,-0.0525,-0.0011,-0.0067,-0.0089,0.0002,0.0025,0.0207,-0.0091,0.02,-0.0092,-0.0448,-0.0391,-0.0411,-0.0447,-0.0237,-0.0038
std(RR),,0.0063,0.0006,0.0015,0.0013,0.0014,0.0013,0.0022,0.0021,,0.0072,0.0006,0.0023,0.0022,0.0022,0.0023,0.0027,0.0021,,0.0076,0.0005,0.0015,0.0014,0.0015,0.0014,0.0028,0.0023,,0.007,0.0008,0.002,0.0015,0.0015,0.0015,0.0027,0.0021,,,0.0007,0.0015,0.0013,0.0014,0.0013,0.0018,0.0015,,0.0037,0.0006,0.0034,0.0034,0.0035,0.0034,0.0049,0.0045,,0.0065,0.0007,0.0017,0.0016,0.0016,0.0016,0.0012,0.0013,,0.0079,0.0008,0.0021,0.0017,0.002,0.0017,0.003,0.0026,,0.0095,0.001,0.0017,0.0016,0.0016,0.0017,0.0021,0.0019,,0.0058,0.0009,0.0024,0.0021,0.0022,0.0024,0.0029,0.0023,,0.0058,0.0008,0.002,0.0019,0.0019,0.002,0.0023,0.0043,,0.0044,0.0013,0.0019,0.0017,0.0017,0.0019,0.0025,0.0029
MDD,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.012,0.012,0.0028,0.0028,0.0028,0.0028,0.0028,0.0022,0.003,0.0096,0.0089,0.0033,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0189,0.0114,0.0027,0.006,0.006,0.006,0.006,0.0034,0.0034,0.014,0.0135,0.0021,0.0024,0.0024,0.0024,0.0024,0.0046,0.0046,0.0174,0.0127,0.0019,0.0033,0.0033,0.0033,0.0033,0.002,0.0038,0.0093,0.0078,0.0027,0.0045,0.0045,0.0045,0.0045,0.0044,0.0025,0.01,0.0053,0.0013,0.0013,0.0013,0.0013,0.0013,0.0016,0.0015,0.0156,0.0054,0.0019,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
Win Rate,0.0,0.25,0.2883,0.32,0.3,0.3,0.3,0.3478,0.38,1.0,0.3333,0.3048,0.5909,0.5,0.5,0.5,0.6875,0.6522,0.0,0.3333,0.302,0.6667,0.7222,0.7222,0.7222,0.5333,0.6667,0.0,0.5,0.2985,0.5312,0.5625,0.5625,0.5625,0.5714,0.6667,1.0,1.0,0.3191,0.5667,0.5,0.5667,0.5,0.4375,0.56,1.0,0.5,0.2691,0.4,0.4,0.45,0.4,0.3,0.5,0.0,0.3333,0.2964,0.4,0.3333,0.4,0.3333,0.4444,0.4545,1.0,0.6667,0.349,0.5,0.5357,0.5,0.5714,0.6429,0.6111,0.0,0.25,0.2891,0.4848,0.4242,0.4141,0.4747,0.4359,0.4842,0.0,0.5,0.2824,0.3818,0.4364,0.4545,0.4182,0.5263,0.5556,1.0,0.4545,0.2748,0.449,0.4286,0.449,0.4694,0.4722,0.383,0.0,0.6667,0.3137,0.3699,0.3699,0.3425,0.3425,0.3725,0.4737
